Fecha;DólarBNA;DólarDivisaBNA;EuroBNA;DólarBlue;DólarAhorro;Diesel;Nafta;ICL;UVA
2/1/2003;3.36;3.35;-;-;-;-;-;-;-
3/1/2003;3.33;3.34;-;-;-;-;-;-;-
6/1/2003;3.33;3.33;-;-;-;-;-;-;-
7/1/2003;3.29;3.28;-;-;-;-;-;-;-
8/1/2003;3.29;3.30;-;-;-;-;-;-;-
10/1/2003;3.35;3.35;-;-;-;-;-;-;-
13/1/2003;3.35;3.33;-;-;-;-;-;-;-
14/1/2003;3.30;3.25;-;-;-;-;-;-;-
15/1/2003;3.23;3.23;-;-;-;-;-;-;-
16/1/2003;3.24;3.26;-;-;-;-;-;-;-
17/1/2003;3.24;3.22;-;-;-;-;-;-;-
20/1/2003;3.19;3.19;-;-;-;-;-;-;-
21/1/2003;3.13;3.10;-;-;-;-;-;-;-
22/1/2003;3.06;3.11;-;-;-;-;-;-;-
23/1/2003;3.12;3.14;-;-;-;-;-;-;-
24/1/2003;3.17;3.22;-;-;-;-;-;-;-
27/1/2003;3.26;3.32;-;-;-;-;-;-;-
28/1/2003;3.34;3.32;-;-;-;-;-;-;-
29/1/2003;3.34;3.31;-;-;-;-;-;-;-
30/1/2003;3.24;3.25;-;-;-;-;-;-;-
31/1/2003;3.18;3.21;-;-;-;-;-;-;-
3/2/2003;3.20;3.18;-;-;-;-;-;-;-
4/2/2003;3.16;3.17;-;-;-;-;-;-;-
5/2/2003;3.15;3.16;-;-;-;-;-;-;-
6/2/2003;3.15;3.15;-;-;-;-;-;-;-
7/2/2003;3.15;3.15;-;-;-;-;-;-;-
10/2/2003;3.15;3.13;-;-;-;-;-;-;-
11/2/2003;3.10;3.11;-;-;-;-;-;-;-
12/2/2003;3.08;3.11;-;-;-;-;-;-;-
13/2/2003;3.12;3.14;-;-;-;-;-;-;-
14/2/2003;3.19;3.18;-;-;-;-;-;-;-
17/2/2003;3.16;3.16;-;-;-;-;-;-;-
18/2/2003;3.16;3.17;-;-;-;-;-;-;-
19/2/2003;3.18;3.19;-;-;-;-;-;-;-
20/2/2003;3.23;3.21;-;-;-;-;-;-;-
24/2/2003;3.18;3.17;-;-;-;-;-;-;-
25/2/2003;3.15;3.16;-;-;-;-;-;-;-
26/2/2003;3.16;3.17;-;-;-;-;-;-;-
27/2/2003;3.18;3.19;-;-;-;-;-;-;-
28/2/2003;3.20;3.19;-;-;-;-;-;-;-
